dataset,column_name,dtype_before,dtype_after
orders,order_purchase_timestamp,str,datetime64[us]
orders,order_approved_at,str,datetime64[us]
orders,order_delivered_carrier_date,str,datetime64[us]
orders,order_delivered_customer_date,str,datetime64[us]
orders,order_estimated_delivery_date,str,datetime64[us]
order_items,shipping_limit_date,str,datetime64[us]
order_reviews,review_creation_date,str,datetime64[us]
order_reviews,review_answer_timestamp,str,datetime64[us]
