product_category_name_english,orders,items_sold,unique_products,unique_sellers,items_gmv,freight_total,avg_item_price,median_item_price,avg_freight,commercial_total,gmv_pct
cine_photo,65,72,28,14,6933.46,1256.2,96.3,72.82,17.45,8189.66,0.05
music,38,38,27,19,6034.35,690.51,158.8,54.89,18.17,6724.860000000001,0.04
dvds_blu_ray,59,64,48,10,5999.39,1288.74,93.74,19.9,20.14,7288.13,0.04
books_imported,53,60,31,7,4639.85,769.85,77.33,63.0,12.83,5409.700000000001,0.03
party_supplies,39,43,26,12,4485.18,827.97,104.31,67.9,19.26,5313.150000000001,0.03
furniture_mattress_and_upholstery,38,38,10,5,4368.08,1630.46,114.95,85.0,42.91,5998.54,0.03
fashio_female_clothing,39,48,27,11,2803.64,621.75,58.41,49.5,12.95,3425.39,0.02
fashion_sport,27,30,19,10,2119.51,578.13,70.65,59.9,19.27,2697.6400000000003,0.02
la_cuisine,13,14,10,2,2054.99,333.55,146.78,137.0,23.82,2388.54,0.02
arts_and_craftmanship,23,24,19,13,1814.01,370.13,75.58,44.9,15.42,2184.14,0.01
diapers_and_hygiene,27,39,12,8,1567.59,573.68,40.19,37.0,14.71,2141.27,0.01
flowers,29,33,14,3,1110.04,488.87,33.64,25.99,14.81,1598.9099999999999,0.01
home_comfort_2,24,30,5,4,760.27,410.31,25.34,12.9,13.68,1170.58,0.01
cds_dvds_musicals,12,14,1,1,730.0,224.98999999999998,52.14,45.0,16.07,954.99,0.01
fashion_childrens_clothes,8,8,5,4,569.85,95.51,71.23,69.94,11.94,665.36,0.0
security_and_services,2,2,2,2,283.28999999999996,41.22,141.64,141.64,20.61,324.51,0.0
